<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MOEX,D,20160616,000000,114.9000000,6582950
MOEX,D,20160617,000000,113.0900000,4567740
MOEX,D,20160620,000000,119.0000000,8866810
MOEX,D,20160621,000000,117.0600000,5429080
MOEX,D,20160622,000000,117.0100000,3102340
MOEX,D,20160623,000000,117.0500000,3794210
MOEX,D,20160624,000000,114.1000000,4406370
MOEX,D,20160627,000000,112.0000000,5469250
MOEX,D,20160628,000000,112.9900000,3182260
MOEX,D,20160629,000000,113.7500000,2744350
MOEX,D,20160630,000000,112.5200000,2985250
MOEX,D,20160701,000000,112.4400000,3460950
MOEX,D,20160704,000000,112.9000000,2401820
MOEX,D,20160705,000000,110.7800000,2981160
MOEX,D,20160706,000000,111.0000000,3435850
MOEX,D,20160707,000000,113.0600000,4969250
MOEX,D,20160708,000000,115.2200000,7493600
MOEX,D,20160711,000000,119.1900000,8469890
MOEX,D,20160712,000000,119.9800000,7983500
MOEX,D,20160713,000000,119.7000000,5070940
MOEX,D,20160714,000000,119.6100000,2728240
MOEX,D,20160715,000000,120.0000000,4860410
MOEX,D,20160718,000000,119.2000000,3170910
MOEX,D,20160719,000000,119.0000000,3342930
MOEX,D,20160720,000000,114.7300000,10279480
MOEX,D,20160721,000000,115.3900000,5186670
MOEX,D,20160722,000000,115.9500000,3157300
MOEX,D,20160725,000000,117.3500000,2654950
MOEX,D,20160726,000000,114.5000000,4275670
MOEX,D,20160727,000000,114.0000000,7925780
MOEX,D,20160728,000000,114.9500000,3401170
MOEX,D,20160729,000000,113.5100000,6080980
MOEX,D,20160801,000000,112.7000000,5069870
MOEX,D,20160802,000000,111.2700000,6978560
MOEX,D,20160803,000000,111.6300000,2860500
MOEX,D,20160804,000000,115.1900000,7090740
MOEX,D,20160805,000000,114.8700000,4487150
MOEX,D,20160808,000000,117.9400000,5136440
MOEX,D,20160809,000000,117.5200000,4014660
MOEX,D,20160810,000000,119.0000000,8685450
MOEX,D,20160811,000000,119.4800000,4358340
MOEX,D,20160812,000000,123.0000000,12346650
MOEX,D,20160815,000000,124.9900000,7906840
MOEX,D,20160816,000000,129.4400000,6696900
MOEX,D,20160817,000000,126.6100000,9672250
MOEX,D,20160818,000000,126.6000000,3246660
MOEX,D,20160819,000000,126.0000000,3837970
MOEX,D,20160822,000000,125.5500000,3284340
MOEX,D,20160823,000000,124.9000000,2986040
MOEX,D,20160824,000000,127.0000000,3309770
MOEX,D,20160825,000000,127.0100000,3610690
MOEX,D,20160826,000000,130.7500000,5792400
MOEX,D,20160829,000000,132.3400000,3022220
MOEX,D,20160830,000000,130.6300000,2751800
MOEX,D,20160831,000000,127.0700000,6476410
MOEX,D,20160901,000000,126.8000000,2823330
MOEX,D,20160902,000000,128.4500000,4632350
MOEX,D,20160905,000000,129.2900000,2869980
MOEX,D,20160906,000000,130.4700000,2653720
MOEX,D,20160907,000000,129.3000000,2809980
MOEX,D,20160908,000000,129.2000000,2629460
MOEX,D,20160909,000000,126.5500000,2903890
MOEX,D,20160912,000000,126.6700000,2366730
MOEX,D,20160913,000000,122.1900000,8530700
MOEX,D,20160914,000000,121.5000000,5162760
MOEX,D,20160915,000000,122.3900000,6581730
MOEX,D,20160916,000000,122.9900000,5824410
MOEX,D,20160919,000000,127.3000000,6089690
MOEX,D,20160920,000000,127.5000000,4978170
MOEX,D,20160921,000000,127.3100000,4862490
MOEX,D,20160922,000000,130.8900000,6063200
MOEX,D,20160923,000000,129.6000000,4107520
MOEX,D,20160926,000000,127.4500000,4390750
MOEX,D,20160927,000000,123.0000000,6787220
MOEX,D,20160928,000000,123.8900000,3676970
MOEX,D,20160929,000000,125.1800000,6490470
MOEX,D,20160930,000000,126.6000000,7821100
MOEX,D,20161003,000000,127.6700000,4691420
MOEX,D,20161004,000000,120.2000000,9194030
MOEX,D,20161005,000000,122.6000000,10986560
MOEX,D,20161006,000000,122.2500000,2666370
MOEX,D,20161007,000000,121.6700000,6534430
MOEX,D,20161010,000000,123.2900000,5525970
MOEX,D,20161011,000000,124.0000000,7062710
MOEX,D,20161012,000000,124.0500000,6920300
MOEX,D,20161013,000000,123.5500000,3115930
MOEX,D,20161014,000000,124.2700000,3485890
MOEX,D,20161017,000000,123.5000000,3590800
MOEX,D,20161018,000000,124.2400000,3447300
MOEX,D,20161019,000000,122.9100000,2735080
MOEX,D,20161020,000000,119.0600000,6495560
MOEX,D,20161021,000000,116.0000000,9386360
MOEX,D,20161024,000000,112.8300000,9214540
MOEX,D,20161025,000000,117.6500000,13326030
MOEX,D,20161026,000000,117.3100000,3582120
MOEX,D,20161027,000000,118.8000000,3385560
MOEX,D,20161028,000000,117.3900000,4111710
MOEX,D,20161031,000000,116.7100000,6532650
MOEX,D,20161101,000000,114.7000000,7970260
MOEX,D,20161102,000000,114.9100000,3862370
MOEX,D,20161103,000000,114.9100000,4147510
MOEX,D,20161107,000000,110.1700000,16962130
MOEX,D,20161108,000000,111.2000000,5229890
MOEX,D,20161109,000000,112.9900000,13491350
MOEX,D,20161110,000000,114.0000000,14997390
MOEX,D,20161111,000000,112.2000000,11616480
MOEX,D,20161114,000000,110.0000000,16286730
MOEX,D,20161115,000000,111.2100000,8402080
MOEX,D,20161116,000000,111.3000000,15550210
MOEX,D,20161117,000000,109.0000000,14632680
MOEX,D,20161118,000000,112.6200000,12233890
