<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MTLR,D,20160616,000000,57.4000000,363606
MTLR,D,20160617,000000,58.0000000,276470
MTLR,D,20160620,000000,57.0400000,452535
MTLR,D,20160621,000000,56.5900000,104623
MTLR,D,20160622,000000,55.3300000,380280
MTLR,D,20160623,000000,54.9900000,627493
MTLR,D,20160624,000000,54.2000000,230796
MTLR,D,20160627,000000,52.7500000,407106
MTLR,D,20160628,000000,58.3000000,1120399
MTLR,D,20160629,000000,57.0900000,1749518
MTLR,D,20160630,000000,56.7100000,487957
MTLR,D,20160701,000000,56.5000000,334761
MTLR,D,20160704,000000,56.7200000,255921
MTLR,D,20160705,000000,56.2500000,128321
MTLR,D,20160706,000000,55.1300000,416356
MTLR,D,20160707,000000,55.5600000,373008
MTLR,D,20160708,000000,55.0800000,558778
MTLR,D,20160711,000000,56.1800000,575100
MTLR,D,20160712,000000,56.2000000,320503
MTLR,D,20160713,000000,56.6000000,660174
MTLR,D,20160714,000000,56.1000000,489030
MTLR,D,20160715,000000,56.5600000,178896
MTLR,D,20160718,000000,56.4000000,657147
MTLR,D,20160719,000000,57.0100000,339537
MTLR,D,20160720,000000,57.8600000,178739
MTLR,D,20160721,000000,58.5500000,443675
MTLR,D,20160722,000000,58.3200000,269021
MTLR,D,20160725,000000,58.0600000,425756
MTLR,D,20160726,000000,57.9100000,193873
MTLR,D,20160727,000000,58.3100000,470265
MTLR,D,20160728,000000,58.4900000,188228
MTLR,D,20160729,000000,57.5100000,303715
MTLR,D,20160801,000000,55.7000000,1002155
MTLR,D,20160802,000000,55.8500000,267754
MTLR,D,20160803,000000,55.0100000,343368
MTLR,D,20160804,000000,54.8200000,364414
MTLR,D,20160805,000000,54.5300000,324746
MTLR,D,20160808,000000,53.7900000,730440
MTLR,D,20160809,000000,53.9000000,382890
MTLR,D,20160810,000000,54.5800000,573092
MTLR,D,20160811,000000,54.4300000,648585
MTLR,D,20160812,000000,54.1000000,329866
MTLR,D,20160815,000000,54.0800000,242628
