<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,D,20160616,000000,127.1000000,67086030
SBER,D,20160617,000000,128.7000000,66699700
SBER,D,20160620,000000,132.1300000,47630400
SBER,D,20160621,000000,133.3900000,52397860
SBER,D,20160622,000000,134.8100000,45326330
SBER,D,20160623,000000,138.0000000,55130360
SBER,D,20160624,000000,133.4000000,106884700
SBER,D,20160627,000000,126.2000000,117399890
SBER,D,20160628,000000,129.5700000,91194040
SBER,D,20160629,000000,133.8800000,67111590
SBER,D,20160630,000000,133.0000000,86930940
SBER,D,20160701,000000,133.8500000,64519920
SBER,D,20160704,000000,134.6000000,37718210
SBER,D,20160705,000000,131.8500000,44204110
SBER,D,20160706,000000,129.3600000,70388370
SBER,D,20160707,000000,131.8000000,77389640
SBER,D,20160708,000000,134.4100000,75673040
SBER,D,20160711,000000,137.2000000,69766630
SBER,D,20160712,000000,140.4000000,63663050
SBER,D,20160713,000000,139.4000000,85646210
SBER,D,20160714,000000,140.0000000,61259330
SBER,D,20160715,000000,138.1200000,53525020
SBER,D,20160718,000000,139.9300000,46916320
SBER,D,20160719,000000,139.4700000,53210010
SBER,D,20160720,000000,138.5700000,63427030
SBER,D,20160721,000000,138.5000000,32366650
SBER,D,20160722,000000,137.8000000,33593300
SBER,D,20160725,000000,136.0000000,47079530
SBER,D,20160726,000000,135.7500000,65090650
SBER,D,20160727,000000,136.9000000,62432830
SBER,D,20160728,000000,136.8500000,56309740
SBER,D,20160729,000000,139.1500000,59148860
SBER,D,20160801,000000,138.5200000,47097920
SBER,D,20160802,000000,135.0600000,57219190
SBER,D,20160803,000000,135.7300000,46770910
SBER,D,20160804,000000,137.1400000,41545410
SBER,D,20160805,000000,138.6900000,44468520
SBER,D,20160808,000000,139.4500000,43494750
SBER,D,20160809,000000,139.2000000,52285030
SBER,D,20160810,000000,138.3000000,36143560
SBER,D,20160811,000000,139.7000000,38330410
SBER,D,20160812,000000,139.4500000,44335520
SBER,D,20160815,000000,139.5000000,40173330
SBER,D,20160816,000000,138.1000000,64904690
SBER,D,20160817,000000,138.4400000,42730300
SBER,D,20160818,000000,137.0000000,62012990
SBER,D,20160819,000000,135.8000000,42530000
SBER,D,20160822,000000,137.3700000,47485130
SBER,D,20160823,000000,140.3500000,59116300
SBER,D,20160824,000000,139.5000000,46251770
SBER,D,20160825,000000,142.8400000,75944360
SBER,D,20160826,000000,145.2500000,75015960
SBER,D,20160829,000000,143.5500000,45614050
SBER,D,20160830,000000,143.1800000,50443440
SBER,D,20160831,000000,143.5000000,45294720
SBER,D,20160901,000000,144.2500000,41937950
SBER,D,20160902,000000,146.8800000,53772780
SBER,D,20160905,000000,149.5000000,59545820
SBER,D,20160906,000000,150.6400000,60147990
SBER,D,20160907,000000,154.3300000,95289530
SBER,D,20160908,000000,153.4500000,64537130
SBER,D,20160909,000000,151.6000000,33736960
SBER,D,20160912,000000,151.4300000,55871980
SBER,D,20160913,000000,149.8000000,36148670
SBER,D,20160914,000000,150.8600000,38688330
SBER,D,20160915,000000,149.1400000,45107520
SBER,D,20160916,000000,147.0000000,49910660
SBER,D,20160919,000000,148.6600000,38924550
SBER,D,20160920,000000,149.3000000,35149660
SBER,D,20160921,000000,150.6700000,43697250
SBER,D,20160922,000000,154.1800000,66092620
SBER,D,20160923,000000,151.5000000,51176510
SBER,D,20160926,000000,149.1000000,51986750
SBER,D,20160927,000000,147.5300000,40348840
SBER,D,20160928,000000,147.1800000,40230280
SBER,D,20160929,000000,148.4700000,56297300
SBER,D,20160930,000000,145.3400000,57798440
SBER,D,20161003,000000,148.8700000,47941420
SBER,D,20161004,000000,148.1000000,46459310
SBER,D,20161005,000000,147.9500000,37966310
SBER,D,20161006,000000,148.9000000,32699850
SBER,D,20161007,000000,148.7400000,49388830
SBER,D,20161010,000000,151.2700000,37482300
SBER,D,20161011,000000,151.3000000,46376980
SBER,D,20161012,000000,149.2000000,35317240
SBER,D,20161013,000000,146.0900000,52801720
SBER,D,20161014,000000,146.7300000,37099700
SBER,D,20161017,000000,146.4600000,42562890
SBER,D,20161018,000000,147.7400000,32892040
SBER,D,20161019,000000,148.6000000,31814210
SBER,D,20161020,000000,148.2600000,34157360
SBER,D,20161021,000000,148.4200000,23313770
SBER,D,20161024,000000,149.1500000,37410050
SBER,D,20161025,000000,151.5700000,36118270
SBER,D,20161026,000000,150.6700000,35924950
SBER,D,20161027,000000,149.3000000,28729750
SBER,D,20161028,000000,149.2000000,22403660
SBER,D,20161031,000000,147.4000000,27671510
SBER,D,20161101,000000,145.8500000,44141040
SBER,D,20161102,000000,142.3600000,60095570
SBER,D,20161103,000000,142.7500000,40279790
SBER,D,20161107,000000,143.4000000,32393320
SBER,D,20161108,000000,146.1100000,37336380
SBER,D,20161109,000000,151.0400000,102095030
SBER,D,20161110,000000,153.3600000,100318590
SBER,D,20161111,000000,151.5100000,69438610
SBER,D,20161114,000000,150.4000000,47632130
SBER,D,20161115,000000,149.8500000,50365840
SBER,D,20161116,000000,149.9400000,35559810
SBER,D,20161117,000000,149.7500000,37666370
SBER,D,20161118,000000,150.0500000,27249640
SBER,D,20161121,000000,153.0000000,39942520
SBER,D,20161122,000000,155.0000000,68518420
SBER,D,20161123,000000,155.2300000,36326550
SBER,D,20161124,000000,161.1500000,68780590
SBER,D,20161125,000000,160.3600000,69110630
SBER,D,20161128,000000,159.4000000,33471380
SBER,D,20161129,000000,158.0700000,49329590
SBER,D,20161130,000000,158.7000000,62375230
SBER,D,20161201,000000,158.7000000,44208780
SBER,D,20161202,000000,159.4000000,52745320
SBER,D,20161205,000000,162.0200000,56571820
SBER,D,20161206,000000,159.3500000,47131720
SBER,D,20161207,000000,159.9500000,46885010
SBER,D,20161208,000000,168.9800000,98124080
SBER,D,20161209,000000,169.6600000,74379560
SBER,D,20161212,000000,175.4000000,114230960
SBER,D,20161213,000000,176.9000000,64532700
SBER,D,20161214,000000,173.7000000,53770010
SBER,D,20161215,000000,174.9200000,74954190
SBER,D,20161216,000000,173.9000000,50022910
SBER,D,20161219,000000,174.3000000,34104700
SBER,D,20161220,000000,175.9000000,31465650
SBER,D,20161221,000000,174.7100000,92632940
SBER,D,20161222,000000,170.0000000,66965850
SBER,D,20161223,000000,171.1500000,37329090
SBER,D,20161226,000000,171.9700000,21197560
SBER,D,20161227,000000,172.2700000,19772190
SBER,D,20161228,000000,170.1000000,36973350
SBER,D,20161229,000000,171.3000000,49574970
SBER,D,20161230,000000,173.2500000,35419390
SBER,D,20170103,000000,180.1200000,53842180
SBER,D,20170104,000000,175.9500000,41327620
SBER,D,20170105,000000,171.9000000,35076900
SBER,D,20170106,000000,170.6900000,35395940
SBER,D,20170109,000000,168.3500000,35166440
SBER,D,20170110,000000,171.6000000,58834680
SBER,D,20170111,000000,169.0500000,52736220
SBER,D,20170112,000000,168.2700000,49804960
SBER,D,20170113,000000,164.9000000,85940780
SBER,D,20170116,000000,164.6600000,37557260
SBER,D,20170117,000000,165.9800000,45959420
SBER,D,20170118,000000,165.2400000,42378670
SBER,D,20170119,000000,166.3000000,38472590
SBER,D,20170120,000000,167.4900000,32568940
SBER,D,20170123,000000,166.7500000,36434510
SBER,D,20170124,000000,170.2500000,45367280
SBER,D,20170125,000000,170.2600000,42503590
SBER,D,20170126,000000,173.7900000,56036230
SBER,D,20170127,000000,178.9200000,71099490
SBER,D,20170130,000000,174.6000000,45749280
SBER,D,20170131,000000,172.2000000,46470590
SBER,D,20170201,000000,173.9000000,42193480
SBER,D,20170202,000000,172.8300000,31041850
SBER,D,20170203,000000,173.8000000,34713800
SBER,D,20170206,000000,172.8700000,33872650
SBER,D,20170207,000000,173.4700000,33473120
SBER,D,20170208,000000,171.2000000,33273330
SBER,D,20170209,000000,168.8000000,48715170
SBER,D,20170210,000000,165.5000000,59285630
SBER,D,20170213,000000,164.7000000,52988560
SBER,D,20170214,000000,162.7000000,54452230
SBER,D,20170215,000000,163.5000000,68790290
SBER,D,20170216,000000,166.4900000,44308970
SBER,D,20170217,000000,165.4900000,32553630
SBER,D,20170220,000000,165.4400000,26953640
SBER,D,20170221,000000,167.0000000,39626950
SBER,D,20170222,000000,165.9000000,40633810
SBER,D,20170224,000000,165.5100000,29587170
SBER,D,20170227,000000,160.9500000,41929270
SBER,D,20170228,000000,156.0000000,67891140
SBER,D,20170301,000000,160.0000000,62236720
SBER,D,20170302,000000,163.4000000,65010400
SBER,D,20170303,000000,164.4000000,38192960
SBER,D,20170306,000000,162.0000000,36786400
SBER,D,20170307,000000,160.9800000,44827830
SBER,D,20170309,000000,156.2000000,63624090
SBER,D,20170310,000000,157.5000000,51231270
SBER,D,20170313,000000,158.9200000,34056930
SBER,D,20170314,000000,157.4200000,59180030
SBER,D,20170315,000000,156.2000000,48779150
SBER,D,20170316,000000,158.3500000,68209960
SBER,D,20170317,000000,161.1500000,65442610
SBER,D,20170320,000000,163.8000000,41462870
SBER,D,20170321,000000,162.9800000,39731890
SBER,D,20170322,000000,162.9200000,40657710
SBER,D,20170323,000000,164.1500000,38642980
SBER,D,20170324,000000,164.5200000,32993360
SBER,D,20170327,000000,162.6900000,35229330
SBER,D,20170328,000000,163.6600000,30439500
SBER,D,20170329,000000,163.2200000,26134840
SBER,D,20170330,000000,163.5000000,24384990
SBER,D,20170331,000000,159.8000000,31601040
SBER,D,20170403,000000,161.8000000,32636130
SBER,D,20170404,000000,163.5000000,23318810
SBER,D,20170405,000000,168.1000000,57692310
SBER,D,20170406,000000,167.4900000,24375820
SBER,D,20170407,000000,161.4900000,59650240
SBER,D,20170410,000000,155.2000000,73679940
SBER,D,20170411,000000,156.0000000,53273370
SBER,D,20170412,000000,150.2800000,53244540
SBER,D,20170413,000000,152.0000000,69930590
SBER,D,20170414,000000,149.2400000,24840630
SBER,D,20170417,000000,153.9900000,48346600
SBER,D,20170418,000000,153.4000000,60835810
SBER,D,20170419,000000,153.6000000,38948690
SBER,D,20170420,000000,158.2100000,64051190
SBER,D,20170421,000000,159.5900000,57083470
SBER,D,20170424,000000,162.5000000,47923700
SBER,D,20170425,000000,162.5500000,40459900
SBER,D,20170426,000000,165.0500000,49230820
SBER,D,20170427,000000,164.6900000,43668030
SBER,D,20170428,000000,165.2000000,40779440
SBER,D,20170502,000000,166.6400000,42399190
SBER,D,20170503,000000,164.7100000,33445270
SBER,D,20170504,000000,165.5000000,37605500
SBER,D,20170505,000000,165.8000000,35456420
SBER,D,20170510,000000,170.8000000,46231060
SBER,D,20170511,000000,169.9700000,56518590
SBER,D,20170512,000000,167.7000000,37348590
SBER,D,20170515,000000,171.3500000,47039700
SBER,D,20170516,000000,170.6600000,37176510
SBER,D,20170517,000000,169.2400000,35159440
SBER,D,20170518,000000,166.5000000,57391080
SBER,D,20170519,000000,168.8700000,36513820
SBER,D,20170522,000000,168.0300000,29547080
SBER,D,20170523,000000,166.3100000,39494780
SBER,D,20170524,000000,165.7000000,46841490
SBER,D,20170525,000000,164.0500000,34259260
SBER,D,20170526,000000,160.7000000,46053720
SBER,D,20170529,000000,163.9000000,28717750
SBER,D,20170530,000000,161.6400000,22662700
SBER,D,20170531,000000,155.9300000,74332900
SBER,D,20170601,000000,153.0000000,50552110
SBER,D,20170602,000000,157.1400000,65317930
SBER,D,20170605,000000,154.7000000,48549350
SBER,D,20170606,000000,152.8000000,34638420
SBER,D,20170607,000000,152.8200000,43633800
SBER,D,20170608,000000,151.9300000,67939500
SBER,D,20170609,000000,150.1300000,45286770
SBER,D,20170613,000000,146.0000000,52895870
SBER,D,20170614,000000,143.0000000,58195180
SBER,D,20170615,000000,139.0000000,183227550
SBER,D,20170616,000000,141.5300000,77148280
